tripduration,date,start,stop,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
425,4/1/2017,1:36 PM,1:43 PM,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,29220,Subscriber,1994,Male
247,4/1/2017,1:38 PM,1:42 PM,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,26183,Subscriber,1992,Male
427,4/1/2017,1:41 PM,1:48 PM,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,29199,Subscriber,1987,Male
188,4/1/2017,1:42 PM,1:46 PM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,26315,Subscriber,1996,Male
194,4/1/2017,1:45 PM,1:48 PM,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,26308,Subscriber,1989,Male
508,4/1/2017,1:48 PM,1:56 PM,3276,Marin Light Rail,40.71458404,-74.04281706,3209,Brunswick St,40.7241765,-74.0506564,24695,Subscriber,1985,Female
1120,4/1/2017,1:49 PM,2:07 PM,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,26285,Subscriber,1991,Male
333,4/1/2017,1:56 PM,2:01 PM,3185,City Hall,40.7177325,-74.043845,3270,Jersey & 6th St,40.72528911,-74.04557168,26168,Subscriber,1973,Male
382,4/1/2017,1:56 PM,2:03 PM,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,26213,Subscriber,1956,Male
269,4/1/2017,2:06 PM,2:11 PM,3195,Sip Ave,40.73074263,-74.06378388,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29202,Subscriber,1982,Male
82,4/1/2017,2:07 PM,2:08 PM,3273,Manila & 1st,40.72165072,-74.04288411,3186,Grove St PATH,40.71958612,-74.04311746,26312,Subscriber,1968,Male
